university,year,rank_display,score,link,country,city,region,type,student_faculty_ratio,size
National Chiao Tung University,2017,174,38.2,https://www.topuniversities.com/universities/national-chiao-tung-university,Taiwan,Hsinchu City,Asia,Public,10,M
University of Reading,2017,175,50,https://www.topuniversities.com/universities/university-reading,United Kingdom,Reading,Europe,Public,12,L
University College Dublin,2017,176,49.7,https://www.topuniversities.com/universities/university-college-dublin,Ireland,Dublin,Europe,Public,12,L
University of Göttingen,2017,177,49.6,https://www.topuniversities.com/universities/university-gottingen,Germany,Göttingen,Europe,Public,8,XL
École Normale Supérieure de Lyon,2017,177,49.6,https://www.topuniversities.com/universities/ecole-normale-superieure-de-lyon,France,Lyon,Europe,Public,5,S
University of Bergen,2017,177,49.6,https://www.topuniversities.com/universities/university-bergen,Norway,Bergen,Europe,Public,7,M
University of Twente,2017,177,49.6,https://www.topuniversities.com/universities/university-twente,Netherlands,Enschede,Europe,Public,10,L
University of Bern,2017,181,49.3,https://www.topuniversities.com/universities/university-bern,Switzerland,Bern,Europe,Public,8,M
Vrije Universiteit Brussel (VUB),2017,182,48.9,https://www.topuniversities.com/universities/vrije-universiteit-brussel-vub,Belgium,Brussels,Europe,Public,7,L
Politecnico di Milano,2017,183,48.8,https://www.topuniversities.com/universities/politecnico-di-milano,Italy,Milan,Europe,Public,21,XL
Technische Universität Wien,2017,183,48.8,https://www.topuniversities.com/universities/vienna-university-technology,Austria,Vienna,Europe,Public,11,M
University of Florida,2017,185,48.6,https://www.topuniversities.com/universities/university-florida,United States,Gainesville,North America,Public,7,XL
University of Rochester,2017,185,48.6,https://www.topuniversities.com/universities/university-rochester,United States,Rochester,North America,Private,5,M
Indian Institute of Technology Delhi (IITD),2017,185,48.6,https://www.topuniversities.com/universities/indian-institute-technology-delhi-iitd,India,New Delhi,Asia,Public,11,M
University of Illinois at Chicago (UIC),2017,187,48.4,https://www.topuniversities.com/universities/university-illinois-chicago-uic,United States,Chicago,North America,Public,10,L
University of Sussex,2017,187,48.4,https://www.topuniversities.com/universities/university-sussex,United Kingdom,Brighton,Europe,Public,14,L
